joint,parent
Hips,
lowerback,Hips
Chest,lowerback
Chest2,Chest
RightCollar,Chest2
RightShoulder,RightCollar
RightElbow,RightShoulder
RightWrist,RightElbow
RThumb,RightWrist
RThumb_Nub,RThumb
rhand,RightWrist
RFingers,rhand
RFingers_Nub,RFingers
LeftCollar,Chest2
LeftShoulder,LeftCollar
LeftElbow,LeftShoulder
LeftWrist,LeftElbow
LThumb,LeftWrist
LThumb_Nub,LThumb
lhand,LeftWrist
LFingers,lhand
LFingers_Nub,LFingers
lowerneck,Chest2
Neck,lowerneck
Head,Neck
Head_Nub,Head
RHipJoint,Hips
RightHip,RHipJoint
RightKnee,RightHip
RightAnkle,RightKnee
RightToe,RightAnkle
RightToe_Nub,RightToe
LHipJoint,Hips
LeftHip,LHipJoint
LeftKnee,LeftHip
LeftAnkle,LeftKnee
LeftToe,LeftAnkle
LeftToe_Nub,LeftToe
