x,y,z
2.7768,17.3688,-44.6838
2.7707,17.3693,-44.683
2.7656,17.371,-44.6809
2.7624,17.3691,-44.6793
2.7591,17.3686,-44.6773
2.7565,17.3678,-44.6752
2.7545,17.3668,-44.6731
2.753,17.366,-44.6711
2.7519,17.365,-44.6693
2.751,17.3644,-44.6675
2.7505,17.3636,-44.6657
2.7503,17.3631,-44.6635
2.7505,17.3625,-44.6612
2.7511,17.3618,-44.6588
2.7519,17.3616,-44.656
2.7531,17.3615,-44.6532
2.7548,17.3615,-44.6501
2.7568,17.3617,-44.6467
2.7592,17.3608,-44.6433
2.7617,17.3589,-44.64
2.7645,17.356,-44.6367
2.7673,17.3522,-44.6335
2.7702,17.3488,-44.63
2.7734,17.3462,-44.6264
2.7767,17.3445,-44.6225
2.7803,17.3441,-44.6182
2.784,17.3437,-44.6138
2.7877,17.3433,-44.6092
2.7915,17.343,-44.6045
2.7954,17.3429,-44.5997
2.7995,17.343,-44.5949
2.8037,17.343,-44.59
2.8081,17.3425,-44.585
2.8125,17.3414,-44.58
2.817,17.3402,-44.575
2.8215,17.339,-44.5701
2.8259,17.3382,-44.5652
2.8303,17.3379,-44.5605
2.8348,17.3378,-44.5557
2.8393,17.3376,-44.5509
2.8439,17.3373,-44.5458
2.8486,17.3367,-44.5407
2.8534,17.336,-44.5354
2.8581,17.3351,-44.5301
2.8627,17.3341,-44.5248
2.8673,17.3329,-44.5196
2.8717,17.3318,-44.5143
2.876,17.3306,-44.509
2.8803,17.3296,-44.5037
2.8845,17.3288,-44.4985
2.8888,17.328,-44.4933
2.8931,17.3271,-44.4881
2.8973,17.3261,-44.483
2.9016,17.3251,-44.4778
2.9057,17.324,-44.4728
2.9098,17.3229,-44.4678
2.9139,17.3219,-44.463
2.9178,17.321,-44.4584
2.9216,17.3201,-44.454
2.9255,17.3195,-44.4497
2.9292,17.3189,-44.4455
2.933,17.3183,-44.4414
2.9368,17.3179,-44.4372
2.9405,17.3175,-44.433
2.9441,17.3165,-44.4288
2.9476,17.3151,-44.4245
2.9509,17.3132,-44.4202
2.9542,17.3109,-44.4157
2.9575,17.3089,-44.4111
2.9608,17.3071,-44.4064
2.964,17.306,-44.4016
2.9672,17.3053,-44.3967
2.9703,17.305,-44.3918
2.9733,17.3049,-44.387
2.9762,17.3051,-44.3823
2.9791,17.3055,-44.3778
2.9819,17.306,-44.3734
2.9847,17.3063,-44.3691
2.9875,17.3062,-44.365
2.9903,17.3057,-44.3609
2.9931,17.3049,-44.3568
2.9959,17.3041,-44.3527
2.9987,17.3034,-44.3487
3.0014,17.3029,-44.3447
3.004,17.3025,-44.3408
3.0066,17.3023,-44.3369
3.009,17.3021,-44.3329
3.0113,17.3018,-44.3288
3.0136,17.3014,-44.3247
3.0158,17.301,-44.3204
3.018,17.3005,-44.3161
3.0203,17.3003,-44.3116
3.0226,17.3001,-44.3072
3.0248,17.2998,-44.3027
3.027,17.2998,-44.2984
3.0292,17.2999,-44.2941
3.0312,17.2999,-44.29
3.0332,17.2999,-44.286
3.0352,17.2996,-44.2819
3.0371,17.2994,-44.2779
3.039,17.2994,-44.2739
3.0408,17.2995,-44.2699
3.0427,17.3,-44.2659
3.0444,17.3007,-44.2619
3.0461,17.301,-44.2578
3.0477,17.301,-44.2538
3.0494,17.3006,-44.2497
3.0509,17.3004,-44.2454
3.0525,17.3006,-44.241
3.0539,17.3011,-44.2364
3.0552,17.3018,-44.2318
3.0563,17.3024,-44.227
3.057,17.303,-44.2222
3.0575,17.3034,-44.2174
3.0575,17.3038,-44.2125
3.0572,17.3042,-44.2075
3.0566,17.3047,-44.2025
3.0555,17.3051,-44.1975
3.054,17.3054,-44.1923
3.0522,17.3056,-44.187
3.0499,17.306,-44.1817
3.047,17.3066,-44.1764
3.0436,17.3076,-44.171
3.0397,17.309,-44.1657
3.0351,17.3105,-44.1604
3.0301,17.3118,-44.155
3.0243,17.3127,-44.1495
3.0179,17.3132,-44.1441
3.0109,17.3135,-44.1385
3.0031,17.3144,-44.1329
2.9945,17.3163,-44.1271
2.9853,17.319,-44.1212
2.9755,17.3222,-44.1152
2.965,17.3252,-44.1091
2.9537,17.3277,-44.1031
2.9415,17.3298,-44.097
2.9284,17.3312,-44.0909
2.9144,17.3322,-44.0846
2.8997,17.333,-44.0782
2.8842,17.3335,-44.0716
2.8684,17.334,-44.0647
2.8521,17.3344,-44.0578
2.8351,17.3348,-44.0507
2.8175,17.3352,-44.0435
2.7988,17.3357,-44.0363
2.7792,17.3361,-44.029
2.7586,17.3361,-44.0216
2.7372,17.3354,-44.0144
2.7151,17.334,-44.0072
2.6923,17.3319,-44.0003
2.669,17.3291,-43.9938
2.645,17.3259,-43.9875
2.6206,17.3228,-43.9815
2.5957,17.3202,-43.9757
2.5708,17.318,-43.9701
2.5461,17.3163,-43.9649
2.5216,17.3154,-43.9599
2.4974,17.3155,-43.9548
2.4737,17.3165,-43.9497
2.4503,17.3186,-43.9447
2.4272,17.3218,-43.9396
2.4045,17.3261,-43.9345
2.382,17.3314,-43.9294
2.3599,17.337,-43.9245
2.3381,17.343,-43.9195
2.3169,17.3489,-43.9143
2.2964,17.3548,-43.9083
2.2769,17.3605,-43.9015
2.2584,17.3662,-43.8933
2.2412,17.3719,-43.8832
2.2253,17.3777,-43.8709
2.2107,17.3835,-43.8564
2.1974,17.3892,-43.8394
2.1853,17.3948,-43.82
2.1743,17.4006,-43.7983
2.1641,17.4061,-43.7744
2.1545,17.4108,-43.7488
2.1455,17.4143,-43.7215
2.137,17.4171,-43.6925
2.1292,17.4187,-43.6618
2.1221,17.4198,-43.6292
2.116,17.4203,-43.5946
2.111,17.4206,-43.558
2.1071,17.4207,-43.5192
2.1043,17.4205,-43.4782
2.1025,17.4197,-43.435
2.1015,17.4186,-43.3895
2.1012,17.4172,-43.3418
2.1013,17.4154,-43.2922
2.1018,17.4129,-43.2409
2.1026,17.4098,-43.1881
2.1037,17.4061,-43.1341
2.1053,17.4014,-43.0788
2.1073,17.3955,-43.0222
2.1099,17.3884,-42.9644
2.1131,17.3804,-42.9054
2.117,17.3717,-42.8451
2.122,17.3623,-42.7839
2.1277,17.3519,-42.7217
2.1343,17.3407,-42.6583
2.1416,17.3288,-42.5939
2.1498,17.3165,-42.5286
2.159,17.3043,-42.4625
2.1693,17.2931,-42.3959
2.1806,17.2829,-42.3293
2.193,17.2749,-42.2634
2.2064,17.2678,-42.1985
2.2204,17.2614,-42.1349
2.2348,17.2554,-42.0728
2.2496,17.2493,-42.0122
2.2644,17.2434,-41.9528
2.2794,17.2388,-41.8944
2.2945,17.2365,-41.8364
2.3101,17.2386,-41.7787
2.3266,17.2453,-41.7208
2.3445,17.2572,-41.6627
2.3639,17.2744,-41.6041
2.385,17.2962,-41.545
2.4075,17.3217,-41.4857
2.431,17.3495,-41.4266
2.455,17.3784,-41.3682
2.479,17.4071,-41.311
2.5026,17.4346,-41.2551
2.5254,17.4606,-41.2007
2.5473,17.4846,-41.1476
2.568,17.5068,-41.0955
2.5875,17.5276,-41.044
2.6056,17.5475,-40.993
2.6224,17.567,-40.942
2.6379,17.5863,-40.891
