x,y,z
8.2571,15.4992,29.6244
8.2579,15.5092,29.6238
8.2584,15.5195,29.6238
8.2581,15.5281,29.6254
8.2581,15.5368,29.6267
8.258,15.5448,29.6286
8.2577,15.5519,29.6311
8.2575,15.5579,29.6343
8.257,15.5628,29.6381
8.2564,15.5666,29.6424
8.2556,15.5692,29.647
8.2547,15.5707,29.6519
8.2535,15.5713,29.6569
8.2522,15.571,29.6619
8.2504,15.5697,29.6671
8.2486,15.5677,29.6722
8.2464,15.5647,29.6775
8.2439,15.561,29.6829
8.2411,15.5566,29.6883
8.2381,15.5518,29.6936
8.235,15.5467,29.6986
8.232,15.5415,29.7031
8.2289,15.5362,29.7072
8.2259,15.5307,29.711
8.2228,15.5249,29.7145
8.2197,15.5187,29.718
8.2164,15.512,29.7216
8.2132,15.505,29.7252
8.2101,15.4979,29.7288
8.2072,15.4908,29.7321
8.2045,15.4839,29.7351
8.2019,15.4774,29.7381
8.1994,15.4711,29.741
8.1969,15.4653,29.7438
8.1944,15.4599,29.7464
8.1917,15.4549,29.749
8.1889,15.4504,29.7516
8.1859,15.4463,29.7543
8.183,15.4424,29.7569
8.18,15.4387,29.76
8.1771,15.4351,29.7634
8.1745,15.4316,29.7671
8.1721,15.428,29.7712
8.1699,15.4246,29.7756
8.1678,15.4212,29.7802
8.1661,15.418,29.785
8.1648,15.4148,29.7897
8.1641,15.4115,29.7946
8.1638,15.408,29.7995
8.1639,15.4043,29.8045
8.164,15.4003,29.8096
8.1641,15.3963,29.815
8.1639,15.3921,29.8207
8.1638,15.3877,29.8265
8.1637,15.3833,29.8323
8.1636,15.3786,29.8384
8.1638,15.3737,29.8446
8.164,15.3687,29.8509
8.1644,15.3637,29.8572
8.1649,15.3588,29.8637
8.1655,15.3541,29.8702
8.1662,15.3507,29.8768
8.167,15.3462,29.8834
8.1677,15.342,29.8902
8.1685,15.338,29.8972
8.1691,15.3342,29.9043
8.1698,15.3308,29.9116
8.1704,15.3276,29.919
8.1709,15.3246,29.9266
8.1714,15.3217,29.9346
8.172,15.3187,29.9427
8.1725,15.3156,29.9509
8.1731,15.3126,29.9593
8.1738,15.3093,29.9678
8.1746,15.3062,29.9763
8.1754,15.3031,29.9849
8.1763,15.3,29.9933
8.1771,15.2971,30.0016
8.1779,15.2941,30.0097
8.1787,15.2913,30.0177
8.1794,15.2886,30.0255
8.1801,15.286,30.0332
8.1807,15.2838,30.0409
8.181,15.2821,30.0484
8.1812,15.2809,30.0558
8.1811,15.2804,30.063
8.1808,15.2805,30.0701
8.1804,15.2812,30.077
8.1798,15.2826,30.0839
8.1791,15.2848,30.0908
8.1784,15.288,30.0977
8.1776,15.2924,30.1044
8.1767,15.2979,30.1109
8.1759,15.3046,30.1173
8.1751,15.3126,30.1236
8.1744,15.3217,30.1297
8.1736,15.3318,30.1358
8.1726,15.3429,30.1418
8.1715,15.3549,30.1477
8.1701,15.3675,30.1534
8.1684,15.3805,30.159
8.1665,15.3937,30.1644
8.1643,15.4068,30.1698
8.1619,15.4197,30.1749
8.1594,15.4321,30.1799
8.1566,15.444,30.1848
8.1538,15.455,30.1895
8.1509,15.4649,30.1941
8.1479,15.4736,30.1986
8.145,15.4809,30.203
8.1421,15.4868,30.2073
8.1393,15.4903,30.2115
8.1366,15.4934,30.2155
8.1339,15.4951,30.2192
8.1314,15.4955,30.2227
8.129,15.4945,30.2259
8.1267,15.4924,30.229
8.1244,15.4892,30.232
8.1221,15.4862,30.2346
