x,y,z
-6.434116011868557,-1.2692789076689408,-6.20148352191049
-6.141118023409748,-1.4982740667806809,-5.853273419838192
-6.010537277132766,-1.6394392123048718,-5.449542469209312
-6.064359755146952,-1.907648921362888,-5.376174412830743
-6.057427609684657,-2.174112309523629,-5.399532888907483
-6.076586159654488,-2.198725428721925,-5.478038026251905
-6.093125323870247,-2.176295769647133,-5.6949835435097
-6.180370676798281,-2.3308324638697115,-6.0744026884267655
-6.263699099919919,-2.37534568597772,-6.370803670245071
-6.289170648027213,-2.265201485247996,-6.459017337330202
-6.283743367015479,-2.280081458858561,-6.472362093892187
-6.298728362584173,-2.279022705036464,-6.521792281457827
-6.317510208588916,-2.263235858292113,-6.512596612081694
-6.520462151210966,-2.2305679238483016,-6.482646213227696
-6.5944103305797,-2.178988382693632,-6.428506832310031
-6.506486486611744,-2.1719273695669656,-6.455292235648894
-6.3793466636390725,-2.178144913302731,-6.514285695396513
-6.3325668571290965,-2.1806613324351005,-6.554062646421475
-6.284849418214717,-2.2644200885123773,-6.570751055508428
-6.153908387283359,-2.2348518637913344,-6.576573040557257
-6.095399120367569,-2.287604173473905,-6.586838028870396
