x,y,z
-6.622488979586137,-0.9594942743678807,-6.757111524384694
-6.621324155155012,-0.9846068986208714,-6.613315222637514
-6.622449853394563,-1.0124020891177423,-6.5097809369482995
-6.621335987545319,-1.032502975872486,-6.4411680943985985
-6.61548425700563,-1.0536000374448662,-6.4009009364447635
-6.599331434909207,-1.0908513183148791,-6.36196963396371
-6.564688424533483,-1.1394207009476247,-6.309289258135902
-6.507146858948886,-1.1971463689654023,-6.261478031216281
-6.434116011868557,-1.2692789076689408,-6.20148352191049
-6.354306278807723,-1.3484121379238907,-6.1245547004228165
-6.274843794846037,-1.4145784824818186,-6.045854787581931
-6.204292529812282,-1.462674058770311,-5.951864317519501
-6.1411180234097476,-1.4982740667806809,-5.853273419838192
-6.09101210559313,-1.5285732090320074,-5.736334752982533
-6.050171030004585,-1.5591444920217263,-5.623438687135419
-6.020783429861978,-1.5931488331360661,-5.515897801120392
-6.010537277132766,-1.6394392123048718,-5.449542469209312
-6.016054805428558,-1.697586953254202,-5.397224781560126
-6.032667549951776,-1.7665795589539606,-5.374789799603018
-6.051564131046713,-1.8380966798911444,-5.371743027400555
-6.064359755146952,-1.9076489213628882,-5.376174412830743
-6.070563439583195,-1.9772151951122368,-5.3822883158617465
-6.069185691116984,-2.045298257728941,-5.388733157516139
-6.062574957122723,-2.112310476761621,-5.3935032059409345
-6.057427609684657,-2.174112309523629,-5.399532888907483
-6.056932208014116,-2.2186381515310067,-5.414976579489448
-6.062599473760864,-2.232088201030791,-5.419006817963879
-6.0694311278331226,-2.224385019685567,-5.448108413633161
-6.076586159654488,-2.198725428721925,-5.478038026251905
-6.081291753351708,-2.1709726562807177,-5.514347856376627
-6.084996476842323,-2.1585381015909775,-5.558338010265501
-6.087666031936966,-2.1590088416629136,-5.617452808544119
-6.093125323870247,-2.1762957696471332,-5.6949835435097
-6.105351442759412,-2.210579810534238,-5.78547358238982
-6.125379068184598,-2.2506399572364266,-5.884215254671968
-6.151174770263713,-2.2910302588827776,-5.9801313947592085
-6.180370676798281,-2.3308324638697115,-6.0744026884267655
-6.206778296760588,-2.363872021168042,-6.165437491544889
-6.229663894161831,-2.383579608902348,-6.249524172235844
-6.246841378563735,-2.387303021198754,-6.319355192214992
-6.263699099919919,-2.3753456859777202,-6.3708036702450705
-6.277380647025982,-2.348828114758824,-6.407683030148636
-6.286774574735604,-2.316250918281277,-6.434767992605597
-6.289643590798344,-2.2862644067539435,-6.45126156508379
-6.289170648027213,-2.265201485247996,-6.459017337330202
-6.288669449544391,-2.260110915257904,-6.458759785193841
-6.286202725897491,-2.265574223782739,-6.457961828215311
-6.284228786549761,-2.272466646649807,-6.460728090622968
-6.283743367015479,-2.280081458858561,-6.472362093892187
-6.286330860890057,-2.28515878144934,-6.485018894444458
-6.288998072301553,-2.2845026157575994,-6.4994888702500475
-6.29333180096268,-2.2824363928990294,-6.512177295369391
-6.298728362584173,-2.279022705036464,-6.521792281457827
-6.30227691804591,-2.2732961323886833,-6.528345027330111
-6.307114436752722,-2.268922410059531,-6.532464648207181
-6.305272439933534,-2.2670397303990626,-6.519095216164324
-6.317510208588916,-2.263235858292113,-6.512596612081694
-6.36693068456583,-2.2590728674558918,-6.524778984271933
-6.417288612296291,-2.253797877720281,-6.515448975093147
-6.472076403873066,-2.244117352639833,-6.500916013320488
-6.520462151210966,-2.2305679238483016,-6.482646213227696
-6.55200823265751,-2.21538328710103,-6.459578006993844
-6.573519750679202,-2.199690240755455,-6.446300740552928
-6.58804200061573,-2.18730171968172,-6.434644008967879
-6.5944103305797,-2.178988382693632,-6.428506832310031
-6.591918310253282,-2.1742757087485067,-6.425237821193285
-6.57507665145847,-2.1708556808157127,-6.429748762029934
-6.544272550774142,-2.1705009199209613,-6.441636735869011
-6.506486486611744,-2.1719273695669656,-6.455292235648894
-6.469525193579577,-2.17421710263293,-6.469767193481076
-6.437295726293826,-2.177791353747587,-6.484599508667856
-6.404138753398307,-2.179610025114144,-6.499993483176514
-6.3793466636390725,-2.178144913302731,-6.514285695396513
-6.360997364984987,-2.173382466271587,-6.527953936634727
-6.348393956439293,-2.1692790948829987,-6.537930642259237
-6.339284226951891,-2.17026814184797,-6.547191749334168
-6.3325668571290965,-2.1806613324351005,-6.554062646421475
-6.326899513207337,-2.1987094337906967,-6.559341179665328
-6.319760059739115,-2.2237726606015435,-6.56457004671266
-6.306228505969942,-2.247690746916337,-6.569534196935777
-6.284849418214717,-2.2644200885123773,-6.570751055508428
-6.2516964828395425,-2.2689052879037845,-6.574761149538716
-6.214832549019928,-2.2602859412908956,-6.579579668018663
-6.1821354995078615,-2.2462111045640007,-6.579436973447947
-6.153908387283359,-2.2348518637913344,-6.576573040557257
-6.131312060293281,-2.2326901186591606,-6.575228815334178
-6.114856615637298,-2.2409876426096815,-6.57652098229012
-6.102780239343754,-2.2602716953191795,-6.580252545757393
-6.095399120367569,-2.2876041734739054,-6.586838028870396
-6.090771635120085,-2.3137944287702688,-6.597735578901606
