x,y,z
-5.117462059187073,-9.711188965700934,-22.359807312453835
-7.845728755067288,-12.036033919233436,-21.797415886216168
-9.49053057749972,-12.848144403129387,-20.556299594314755
-9.7110981052746,-13.246281666208912,-19.723310872632062
-7.637188952761093,-13.435977566701467,-20.52539383475405
-4.280737269603116,-12.684862095528915,-20.860062539304067
-1.20649566810705,-10.859848825458592,-20.639365296521326
-0.124388818093325,-8.400575647911563,-19.74064092394952
0.0104752369811844,-6.347083773438447,-17.948937571912378
-2.118338742210802,-5.193652982445814,-16.010677584354603
-6.693432529011714,-3.10342039008952,-16.91526491826189
-10.839761367434864,-2.2104582168847617,-20.73856655281605
-10.543743092950283,-6.386613486321226,-22.511484706707144
-6.61154170899229,-6.989980026522857,-23.871487563995903
-4.300819286704703,-8.70595006966495,-23.843931403524515
-2.4442360084860053,-10.920376343774135,-22.94866184077896
-1.442591181803877,-12.457892717852468,-22.57360214079503
-1.218588800314713,-14.18437563283312,-21.380283054501582
-1.5643170668764603,-15.364328201499577,-20.268913670374985
-2.227009493782336,-15.295055393572996,-19.465651575370657
-2.4593867069529423,-14.42791587608564,-18.826522554361443
-2.212228351771347,-12.474174221390452,-18.05990573271752
-2.15125410290968,-9.216498921699236,-16.582531261879303
-4.983140214175052,-5.930719628940354,-14.207054927108029
-7.480731051436345,-2.7132109486725917,-17.366107796282606
-10.677241552529162,-4.117757913180091,-22.065581670903114
-8.114567524876,-7.687289095900493,-23.83063612261795
-4.826785791059134,-8.581651532004726,-24.55090772878574
-3.098275814372505,-10.169539468260202,-24.076297440081056
-2.087438194502503,-12.864491894949698,-22.34543007061482
-1.414695741864891,-15.677582286784206,-20.201260077007134
-1.464166741546438,-15.879900953942608,-19.646900501430256
-1.4604094260491178,-14.856139259895285,-19.339569945314004
-0.7304542281819771,-11.088375476819614,-19.56226371059296
-0.1309902388952706,-6.653336799163174,-17.27563423734182
-4.003987056690015,-4.168454698684306,-14.227670561781972
-5.583696394929506,-1.2503671623379269,-16.81681091186183
-7.657953936151337,-0.8119491918768738,-21.32241677126195
-8.627947033251116,-5.239994854585032,-24.16296551422028
-5.218096831535987,-6.838510168904307,-24.682146681457148
-1.6810904935516513,-8.247528115449452,-24.58453978739205
-0.9217037462179684,-10.805518003488638,-23.35382070102547
-0.9931991215802676,-13.216613287983172,-21.69008423749594
-1.1026743388205025,-15.163209210721964,-20.357237971054843
-1.6072337350638772,-16.41624857551604,-19.62430038981253
-2.20631284749938,-16.549438974268913,-19.22272155582737
-2.265691452556971,-15.082953743383998,-18.711465470503377
-2.04727227335115,-13.475736934510918,-16.977903903415843
-2.556311113920713,-9.528113286094912,-15.10775074981496
-5.52972844925457,-5.940060433875969,-13.038021143310647
-6.471328845042406,-3.5024599067368296,-16.816696808444235
-8.977201393390358,-4.1254938077680645,-21.78133371250522
-7.061501022008876,-8.715245717250147,-23.84905758316097
-3.2629199419738715,-9.782654781541734,-24.413921531245748
-1.3564544778578187,-11.46524400224328,-23.456220806122683
-0.9544300415173252,-13.306543174746206,-22.1724510660514
-0.9618432228711802,-15.756327141001428,-20.326698830663315
-1.0767529623389067,-15.891467452259205,-19.790874050383
-0.772012854287677,-14.830387404798609,-18.71695796107176
-0.6518287423675597,-12.013084271626026,-18.562642668048017
-1.1190907905926917,-8.53781909552542,-17.682241626204835
-3.384206686011096,-5.352416377806188,-15.159294503760965
-5.919453852327012,-2.6818824503707432,-14.399140021986982
-6.794625052607285,-0.5163790687252252,-17.6122219848469
-9.338682013785585,-2.2932255273536484,-22.049880370886967
-7.194008280541699,-6.515580259505828,-24.31626088812048
-3.232487499216985,-8.567483673530159,-24.61476365748556
-1.6378926955093789,-10.644485253705742,-23.841116710973047
-1.5898060415108863,-13.052418616609184,-22.33579730789441
-1.7952093981292176,-15.130138504935177,-20.41015402518672
-2.502408130290421,-16.19047483627538,-19.414646899191645
-3.028333348498286,-15.381302540281176,-18.580733575302677
-2.991920775982124,-14.409738333910116,-17.200860808047974
-2.685643218748965,-13.29079542109126,-15.81392943814896
-3.0241681737112422,-10.068081690498024,-14.527872274986382
-5.595260780084732,-6.918039437715693,-12.711358743637993
-6.654067375051001,-4.349850361691905,-16.933411516658982
-9.699522913844865,-5.641845597546203,-21.741616141208137
-7.968160866032615,-9.318091188656936,-23.51907318253649
-4.491147934026291,-10.16557371377716,-24.27649569126659
-2.5516955832277275,-11.191596454586396,-23.953206309078624
-1.4983410949083844,-12.429100332218002,-23.19757172065919
-1.2296912919933738,-13.141573241267205,-22.232166532944724
-1.1738504754789394,-14.2387212915178,-20.607130665334065
-1.36718668165123,-15.276414444141135,-18.51564142569146
-1.6477804947487968,-15.139881552349827,-17.041482469607843
-1.181077413063945,-13.659359474316526,-15.48503156173398
-2.032925309258821,-9.858071200023586,-14.246646876108793
-4.550871136689759,-6.5335033994347,-13.020227486725236
-5.261751053050936,-4.404125768176447,-16.798445462539643
-7.884217765115316,-5.62668712148038,-21.402762800559408
-6.092432118189246,-9.744095699557288,-23.95369553011752
-1.906423116285164,-10.107539242611274,-24.619667061121536
0.0881339125144653,-10.805363777308967,-24.055307322065783
-0.4242332455345985,-11.414092118276098,-23.66833035904989
-1.5132224513587182,-12.22203048215172,-23.00562327859596
