x,y,z
0.3095807379724953,-12.161400562063308,-15.764672580658504
0.2145721548841694,-12.360470751104746,-16.36728310141261
-0.3051131662737357,-11.702034634164391,-17.55652382658075
1.8411621415423296,-10.403425991608948,-20.65213382367621
2.108693035660996,-8.277179137567753,-22.51305240240528
1.2766330698151185,-9.777309028831557,-21.74376355455316
0.5069571048495312,-6.775369083528123,-23.00053418911952
-0.3432321403916059,-6.328666062887312,-23.29042917187429
-0.7768993770574837,-8.206282468495726,-22.690472350632284
-1.012603378726621,-5.365665319282041,-23.55488876121832
-1.4488984969906986,-6.92318877244865,-23.20931239120173
-1.611062324254097,-6.523332595591061,-23.27873242752715
-2.431464008735037,-3.6027746025698715,-23.85178736666995
-3.3004741237499293,-4.811490060797642,-23.58465906724629
-3.381288189994869,-6.531536865690259,-22.965698755440386
-3.7454027407640194,-3.533777722324075,-23.56879496611689
-4.203491595049234,-2.5978465936582644,-23.72655696133065
-4.329321989231636,-7.081445865572789,-22.830031806084094
-3.892246225763736,-5.467377067716141,-23.27192173448323
-4.871158442888836,-2.615984435608945,-23.31048365038464
-4.634429927856568,-7.6019034877135585,-22.78072328633385
-4.257481746882383,-7.262407655598347,-22.91409830405973
-5.670794154578193,-3.091723774876293,-22.933459405959045
-6.698080394376817,-5.2728015498237575,-22.05596664918416
-7.312824418148792,-10.519432802451457,-20.54226558235929
-9.089712928724644,-7.313220108898104,-21.35779016974754
-11.052943684131453,-1.855325940376277,-21.55581947489061
-11.494437099962289,-3.9752042094308457,-21.1779708407972
-10.591787549855908,-10.590724763461676,-20.15046920339208
-10.250885288563865,-6.794799335649071,-21.35026905355437
-10.697272959285613,-1.989296661504776,-21.43515119794806
-10.22655412033726,-6.955701917711249,-21.296941326359345
-8.858019896596083,-10.49271548623845,-20.94554343196008
-9.362458725372624,-4.207438593886351,-22.23497039328858
-9.23281520948304,-1.7668890747384631,-22.11102530917659
-8.599210493194722,-8.856166912703479,-22.184568677205043
-9.011981266924556,-6.192098124205771,-22.60938271246907
-11.017633302555918,-0.131316267859745,-21.39466003112819
-10.758790760961729,-1.1291495052106164,-20.64331347698014
-10.320770283096891,-9.083391071097736,-20.80659722797257
-11.920486234496316,-5.639652088716769,-21.39522302334547
-13.39923315403371,1.5816138878637886,-20.73305125117711
-12.84596405875657,2.884159489632367,-18.61822316402983
-14.160252417490648,-6.884752584533146,-19.88422887730514
-12.48792184270049,-7.10537960942653,-20.77045737016612
-12.63048518038807,0.0124933449234525,-20.688195659425297
-12.088300755277809,3.327672338582296,-19.23222655447514
-12.246404341667349,-3.10071863017912,-20.70950796142949
-10.447668176220027,-7.789823175060679,-21.205354537207835
-10.487149081218448,-2.9192612938913225,-21.757426638082897
-10.039746434974711,-7.42768893807334,-21.55610662722351
-9.44473038894528,-8.18641535229266,-21.42999705912992
-10.30690468256484,-4.200828201478895,-21.560472293511804
-10.266700998519168,-7.433120828654113,-20.845355478464853
-10.442794602028696,-10.271439745820713,-19.81637953139289
-13.09865521129932,-4.501941867178912,-20.64241377106177
-13.405472663186956,-2.9477822003308134,-20.494992041361577
-11.421485784163592,-9.712724656016054,-19.99600295722711
-11.995485059140004,-5.575845633733758,-20.71272889238076
-12.488213478053884,-3.076437908594801,-20.77904615903319
-10.657583036645564,-9.395416151955272,-20.0779267318478
-9.399994411913172,-7.418140967369069,-21.077142100737632
-9.44978764319293,-2.71993499015679,-21.96556657891007
-8.008043877786012,-8.403201947923993,-21.962162110014937
-6.650361972941546,-8.18175631429757,-22.52551509651218
-7.751862018728906,-3.570671499105432,-22.906749731472168
-7.404829402532504,-7.0304317378008445,-22.53380080067481
-6.531509851232242,-9.353533834020087,-21.950687045666378
-7.61812147271082,-4.832527218978134,-22.38754241804097
-8.240778638660899,-7.07608139284573,-21.821023604450712
-8.444788569452083,-9.124193391153678,-21.22204229273766
-9.946154186242037,-4.512422242072649,-21.98560604924469
-9.13554650026568,-7.478104117293247,-21.64121687819943
-7.0249606228043096,-9.892160475405692,-21.20208537060004
-8.19460906342405,-4.537890490644507,-22.206100800520908
-6.493280548499896,-8.22526455875157,-22.158277799098
-4.448694864186619,-9.840167883096791,-21.806607103618155
