x,y,z
7.937098217107831,-6.976184689602407,-20.328156967012955
8.054236617717535,-7.102587171089013,-20.103633431826886
8.144205019809412,-7.2317085550769145,-19.868184863396426
8.189238013099054,-7.345266330337173,-19.584666097754752
8.158014545912451,-7.421598378065752,-19.241099910811226
7.978259412390034,-7.413574453681155,-18.826764823105748
7.70971586169392,-7.3416203882362545,-18.485360872880058
7.494985875251622,-7.2726172838422505,-18.296585333324334
7.436775483344181,-7.262656743384647,-18.26457915308952
7.429495138170159,-7.235894530258639,-18.348615950417418
7.368486127489919,-7.09970500553783,-18.50547389382767
7.277243844028287,-6.863403918705526,-18.740153289549596
7.308933644780145,-6.594720800375207,-19.124301334810358
7.501762937001835,-6.271115724226721,-19.76256259200592
7.677354205032842,-5.8374325984237245,-20.666485748820264
7.525646945935478,-5.3456213886936546,-21.510263968160874
7.290823504993928,-4.888323852825774,-22.055380437221416
7.120048057197062,-4.467907754659604,-22.46468879174536
6.959923511274603,-4.186150781792014,-22.727251971948
6.79479656716918,-4.1328569927745615,-22.78895863115416
6.594317325664717,-4.419634711665056,-22.70141387012665
6.396431445286515,-5.085471495827786,-22.47128442630571
6.162654890745622,-5.894770988413709,-22.19276952318527
5.745249829323097,-6.477588688076413,-22.062068546630012
5.201195614054481,-6.7084625654310095,-22.207223210139023
4.639316386619926,-6.54141251498096,-22.536778021201624
4.241381113141072,-6.03938202867093,-22.893481893218635
3.986017098951928,-5.424235762211479,-23.217235407199134
3.8189671864884933,-4.996539616638907,-23.341538582516577
3.746137643377539,-5.101884472312841,-23.256112875822986
3.793670202208479,-5.652068340939776,-23.03040296088078
3.9260774743508398,-6.369094820677107,-22.735294192750512
4.013056719244386,-7.008072810937049,-22.452719186541643
3.9474436858506445,-7.479751764262818,-22.25818292933178
3.743889613671001,-7.679097518140143,-22.226112048417843
3.5336681084263546,-7.552877603357675,-22.320342342529134
3.351622730869825,-7.166888359582133,-22.511489151809517
3.1821518724802305,-6.598373967492861,-22.78697941436555
3.037531773634128,-5.944123866619753,-23.084051776457148
2.897418983937179,-5.328132843109328,-23.303430091225632
2.7032596113726606,-4.933928715216005,-23.398288203972832
2.54129250667404,-4.9409753544508455,-23.38247319961783
2.5162908094277956,-5.289550527613752,-23.296177990965646
2.5209350624890927,-5.726433542811911,-23.184161490843938
2.367729944408907,-6.044798532551198,-23.071332586586927
2.0204393236233953,-6.065814647012672,-23.058458493926175
1.602681351811352,-5.698994157230116,-23.236067546213008
1.2648327628004332,-5.063570604756567,-23.48618702437726
1.0582297131859741,-4.364923539160877,-23.68418968265447
0.9004109299293797,-3.7392129690904614,-23.830941732588343
0.7437070552396103,-3.3435491940303788,-23.89178758591823
0.6212046436730874,-3.3155615993738667,-23.86099217054568
0.5955998668067108,-3.6465258399032514,-23.7702017817592
0.6259186849329348,-4.2276631257887445,-23.662046762185376
0.6874338912258695,-4.957325068257841,-23.498719661065664
0.6987933827974206,-5.669628862075053,-23.278777536496108
0.5863756937122999,-6.134318024013675,-23.09503367620297
0.4129955976726616,-6.201042454693624,-23.04997195730772
0.19348470603044232,-5.888016306595755,-23.20076906436377
0.012731724089090513,-5.309667493488533,-23.411986767093328
-0.12359510791907535,-4.602047293535886,-23.61800047801123
-0.22105345021765332,-3.8661383071012203,-23.805199883548347
-0.29512869016049637,-3.185789007697224,-23.95332235878874
-0.4423193056145238,-2.6697453713878865,-24.04390839074888
-0.6197020679755632,-2.43676793091152,-24.051738336875168
-0.7623752977748257,-2.530354907224398,-24.010460292299648
-0.8166739746297995,-2.91287535469702,-23.922954257722637
-0.8257717333325247,-3.5219234578171026,-23.817235473285137
-0.8067907888173858,-4.234785143177877,-23.674940144697715
-0.8498959405683661,-4.830610429774493,-23.52342481091425
