x,y,z
-4.2338835366993965,-16.157909443703815,0.595004391023993
-4.219898695973456,-16.166823113983256,0.5689447192961916
-4.226971822020356,-16.16346210712114,0.5473410329226169
-4.228602388125461,-16.165020485547238,0.5261672139869624
-4.239395791112312,-16.16384803011028,0.5010926156171172
-4.237701937568782,-16.168090925457214,0.47405601167551836
-4.243576896152778,-16.168449835689557,0.4601124574339668
-4.249608359559742,-16.166900328058073,0.4560147315478362
-4.250263085460105,-16.169013518528843,0.4416090467402265
-4.248915234379187,-16.161883444902877,0.46511356521750624
-4.242908614943411,-16.166230434664342,0.46446540654791946
-4.219514514327678,-16.175503485211053,0.4707351555045749
-4.22008203569139,-16.17083133197967,0.49170054919186246
-4.207383446321693,-16.170417127021715,0.5144529440154386
-4.206144737606485,-16.169875117655508,0.532085572393151
-4.202033749258337,-16.167029318698447,0.5549954032867834
-4.192789067176099,-16.169159898886207,0.5560703288716704
-4.190116846934326,-16.170385571676494,0.5572104210369773
-4.185455728634041,-16.170190596695306,0.542656901782963
-4.1833213736939605,-16.168097356544394,0.5387662425200146
-4.175239439610936,-16.16607577786631,0.5194546974634919
-4.1327886678169845,-16.172097847932672,0.5168466352666341
-4.081353290404687,-16.176210516390384,0.5208896808367429
-4.049248042666992,-16.175191926804597,0.5908524044102164
-3.9813601077364726,-16.182784525813325,0.48144952740133284
-3.9412467049146005,-16.201282903675725,0.49141286585351196
-4.000969205276651,-16.18943036636937,0.3436263155848325
-4.203643405623026,-16.131443229153525,0.1792155795881616
-4.436134575714131,-16.0560790897215,-0.2498457503399374
-4.591815104413712,-15.986325787775424,-0.9431209542783519
-4.686821413684849,-15.915865643177519,-1.6851540623310086
-4.804510884400015,-15.80748616948551,-2.3788334259527613
-4.8081504599491005,-15.698737757630155,-3.1010607153842162
-4.799541699979064,-15.567405949089581,-3.6306864525562084
-4.939921648628853,-15.392059747082467,-4.0124093896528095
-5.106143770060564,-15.241774247739933,-4.183998195487709
-5.2661599132468195,-15.126942797444134,-4.199979411535518
-5.399627376182639,-15.03662168034778,-4.19680174730727
-5.476388814538671,-14.975158893348503,-4.154313184178601
-5.516099611882032,-14.922227563487382,-4.058641850117787
-5.4100426495395215,-14.929074467260776,-3.974332913982531
