x,y,z
-0.4162,17.5029,7.7444
-0.4183,17.5036,7.7448
-0.419,17.5032,7.7453
-0.4239,17.5052,7.751
-0.4274,17.5075,7.7559
-0.4308,17.5103,7.7613
-0.4339,17.5131,7.7663
-0.4363,17.5152,7.7702
-0.438,17.5165,7.7727
-0.4392,17.5168,7.7739
-0.4402,17.5166,7.7746
-0.4411,17.5163,7.7752
-0.4419,17.5158,7.7759
-0.4426,17.5152,7.7767
-0.4433,17.5145,7.7778
-0.444,17.5138,7.7796
-0.4446,17.513,7.7822
-0.4451,17.5121,7.7854
-0.4454,17.5113,7.7893
-0.4456,17.5105,7.7933
-0.4459,17.5099,7.7972
-0.4465,17.5099,7.8014
-0.4475,17.5103,7.8059
-0.4489,17.5111,7.8107
-0.4504,17.5119,7.816
-0.4519,17.5126,7.8214
-0.4528,17.5131,7.8265
-0.4529,17.5134,7.8309
-0.4519,17.5137,7.8341
-0.4498,17.5147,7.8362
-0.4462,17.5163,7.8376
-0.4412,17.5186,7.8384
-0.4349,17.5212,7.8385
-0.4278,17.5239,7.8381
-0.4201,17.5263,7.837
-0.4121,17.5282,7.835
-0.4041,17.5296,7.8322
-0.3958,17.5304,7.8285
-0.3868,17.5307,7.8244
-0.3769,17.5306,7.8209
-0.3662,17.5304,7.8186
-0.3548,17.5302,7.8179
-0.3434,17.5303,7.8191
-0.3322,17.5307,7.8219
-0.3218,17.5315,7.8263
-0.3123,17.5327,7.8321
-0.3036,17.5339,7.8391
-0.2959,17.535,7.8471
-0.2892,17.5361,7.8564
-0.2838,17.5374,7.8671
-0.2797,17.5391,7.879
-0.2768,17.5412,7.8914
-0.2747,17.5436,7.9038
-0.2728,17.546,7.9156
-0.2703,17.5478,7.9261
-0.2666,17.5487,7.9348
-0.2618,17.5487,7.942
-0.256,17.5485,7.9488
-0.2498,17.5485,7.9558
-0.2433,17.549,7.9635
-0.2374,17.5508,7.9728
-0.2324,17.5536,7.9838
-0.2284,17.5571,7.9962
-0.2252,17.5609,8.0096
-0.2226,17.5646,8.023
-0.2203,17.5683,8.0357
-0.2185,17.5722,8.0468
-0.217,17.5764,8.0557
-0.2169,17.5815,8.0624
-0.2188,17.5874,8.0671
-0.2233,17.594,8.0701
-0.2309,17.6012,8.0717
-0.2414,17.609,8.0727
-0.2547,17.6174,8.0738
-0.2708,17.6266,8.0753
-0.2896,17.6368,8.077
-0.3104,17.6473,8.0786
-0.3328,17.6574,8.0796
-0.357,17.6669,8.08
-0.3827,17.6756,8.0797
-0.4094,17.6834,8.0785
-0.4367,17.6904,8.0769
-0.4641,17.6968,8.0744
-0.4913,17.7022,8.0704
-0.518,17.7064,8.0646
-0.5437,17.7089,8.0564
-0.5689,17.71,8.0457
-0.5933,17.7099,8.0324
-0.6167,17.7089,8.0169
-0.6384,17.7074,7.9997
-0.6582,17.7056,7.9817
-0.676,17.7042,7.9637
