0,1,2,3,4
0,264,1057,528,793
1,265,529,530,266
2,266,530,794,1058
3,267,531,795,1059
4,268,532,796,1060
5,269,533,797,1062
6,270,799,1063,535
7,271,535,799,1063
8,272,536,7,800
9,273,537,8,272
10,274,538,802,1066
11,275,539,803,1067
12,276,1332,6199,540
13,277,541,805,1865
14,278,1600,542,1866
15,279,1335,1601,543
16,280,544,808,1072
17,281,545,2943,3217
18,282,811,1075,547
19,283,547,811,1076
20,284,548,812,549
21,285,549,813,20
22,286,550,814,1078
23,287,551,2949,3223
24,288,552,816,3225
25,289,553,817,1081
26,290,554,818,6982
27,291,555,297,33
28,292,556,6360,6664
29,293,558,822,294
30,294,558,822,823
31,295,559,823,1087
32,296,560,824,1088
33,297,561,825,1089
34,298,562,826,1090
35,299,563,827,1091
36,300,564,828,1092
37,301,565,829,1093
38,302,566,830,1094
39,303,567,831,1095
40,304,568,832,1096
41,305,569,833,1097
42,306,570,834,1098
43,307,571,835,1099
44,308,572,836,1100
45,309,573,837,1101
46,310,574,838,1102
47,311,1373,1639,575
48,312,576,1640,1374
49,313,577,4492,1922
50,314,1108,51,315
51,315,579,843,580
52,316,580,51,315
53,317,581,845,4267
54,318,10642,2470,2204
55,319,583,1243,979
56,320,1113,584,849
57,321,585,849,1113
58,322,586,850,1115
59,323,588,324,852
60,324,588,852,1116
61,325,589,853,1118
62,326,590,327,591
63,327,591,326,590
64,328,592,856,1120
65,329,593,857,858
66,330,859,595,594
67,331,595,594,858
68,332,1478,1744,60
69,333,2796,3047,2773
70,334,598,862,1429
71,335,5081,4782,5380
72,336,4235,4534,600
73,337,601,2752,865
74,338,2733,602,4164
75,4264,339,4563,4203
76,340,604,4827,4528
77,341,605,5450,5151
78,342,4853,606,4554
79,343,607,871,1135
80,344,608,872,212
81,345,93,477,14319
82,346,107,14226,14339
83,347,611,875,1139
84,348,612,876,1140
85,349,613,877,1141
86,350,614,4213,1424
87,351,2803,615,2837
88,352,2804,616,2768
89,353,244,617,508
90,354,186,618,450
91,355,3915,3641,619
92,356,620,884,178
93,420,345,357,81
94,358,2738,622,129
95,359,623,887,1151
96,360,624,888,1152
97,361,625,889,1153
98,362,626,890,1154
99,363,627,891,4561
100,364,4562,4263,628
101,365,629,2734,243
102,366,89,630,353
103,367,2585,979,2319
104,368,632,1972,1706
105,369,1523,144,419
106,370,409,345,357
107,371,346,82,4496
108,372,636,14357,900
109,373,637,446,182
110,374,638,4054,5242
111,375,639,903,4046
112,376,640,904,1168
113,377,641,905,2639
114,378,642,1026,762
115,379,763,968,1209
116,380,644,500,236
117,381,645,909,419
118,382,1538,213,454
119,383,14147,647,4234
120,384,648,912,5654
121,385,132,649,396
122,386,3146,2872,2767
123,387,3055,2781,651
124,388,652,916,3697
125,389,653,341,77
126,390,1465,3081,1731
127,391,655,3082,2808
128,409,93,357,106
129,393,657,94,358
130,394,658,922,1186
131,395,659,923,1187
132,396,660,924,1188
133,397,661,925,4213
134,398,230,662,494
135,399,663,231,495
136,400,1758,1492,1827
137,401,665,2094,2360
138,402,666,139,930
139,403,667,931,138
140,404,668,932,1196
141,405,669,933,1197
142,406,670,143,934
143,407,671,935,2573
144,3642,442,3916,178
145,10650,10746,1511,409
146,410,1444,1512,1778
147,411,1445,675,1711
148,2779,3053,412,3327
149,413,184,448,3316
150,414,678,942,1543
151,415,679,1982,1716
152,416,175,3581,439
153,417,681,3308,3034
154,418,682,946,1210
155,419,144,117,381
156,420,4183,4795,93
157,1512,3051,421,12037
